iter	Passed	Remaining
0	1	112
1	2	101
2	2	93
3	3	84
4	4	86
5	5	86
6	6	88
7	7	88
8	8	86
9	9	84
10	10	83
11	11	82
12	12	82
13	13	81
14	14	80
15	15	79
16	16	79
17	17	78
18	17	76
19	18	75
20	19	74
21	20	73
22	21	71
23	22	71
24	23	70
25	24	69
26	25	67
27	26	66
28	26	65
29	27	64
30	28	63
31	29	62
32	30	61
33	31	60
34	32	60
35	33	58
36	34	57
37	34	56
38	35	55
39	36	55
40	37	54
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	44	46
49	45	45
50	45	44
51	46	43
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	52	36
59	53	35
60	54	34
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	60	28
68	61	27
69	62	26
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	72	18
80	73	17
81	74	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
